"Local SHA","Local Subject","Patch ID","Upstream SHA","Upstream Subject",
"4d5331cf2e3d0ca66cf20faa525b396db4a28a62","UPSTREAM: sched/core: Change root_domain->overload type to int","1e64e8039028aa88fd6fc84acf53166e0cd5b7e3","575638d1047eb057a5cdf95cc0b3c084e1279508","sched/core: Change root_domain->overload type to int",
"ad8f599f2ead3da47f71dd7fa7c1634bc5f2e8ca","UPSTREAM: sched/fair: Wrap rq->rd->overload accesses with READ/WRITE_ONCE()","c9ecfa18727a50905ed329f657837c783726ba58","e90c8fe15a3bf93a23088bcf1a56a0fa391d4e50","sched/fair: Wrap rq->rd->overload accesses with READ/WRITE_ONCE()",
"058a5772b364a15e72a767c12f2fc51c8ba54678","UPSTREAM: sched/fair: Set rq->rd->overload when misfit","9ecc087383957b5dc52daedbbc9039147d9245a6","757ffdd705ee942fc8150b17942d968601d2a15b","sched/fair: Set rq->rd->overload when misfit",
"e077a00abebaa7ab87dcd1911f7bd85f80242b56","UPSTREAM: sched/fair: Don't move tasks to lower capacity CPUs unless necessary","5dd6a1cb707e0b069ec13054013b19dbe1015d52","4ad3831a9d4af5e36da5d44a3b9c6522d0353cee","sched/fair: Don't move tasks to lower capacity CPUs unless necessary",
"fad3e546059b981e1b7ac57c501f05b5a5690e0a","UPSTREAM: sched/core: Disable SD_PREFER_SIBLING on asymmetric CPU capacity domains","3f73045e62c90062c5ece2de8210d2a93f6724fe","9c63e84db29bcf584040931ad97c2edd11e35f6c","sched/core: Disable SD_PREFER_SIBLING on asymmetric CPU capacity domains",
"997bceabb11b552da99d92622f03535b6db5c8cf","UPSTREAM: firmware: arm_scmi: add a getter for power of performance states","23093b945e6bea35d4b1a941a5d32ce9ebdc53b4","1a63fe9a2b1f47af5b2b7436b41824b14999c17a","firmware: arm_scmi: add a getter for power of performance states",
"06d4919c31bf016e52640184e4569d27e74cacda","UPSTREAM: dt-bindings: mipi-dsi: Add info about peripherals with non-DSI control bus","16ccedbb8774e9faa6f55572856367bcf7bd53dd","9b32f8951f0f3f8e07c0682d853f5aaf77603aef","dt-bindings: mipi-dsi: Add info about peripherals with non-DSI control bus",
"b5e83dbc77b7e3e888d41c4bfca54c55a636bace","UPSTREAM: dt-bindings: mipi-dsi: Add dual-channel DSI related info","22c65d8da68cbb78c0bb346bf02a901062e07077","5e03f02cb58d1cee5d98f323da9abe2e7073b2b4","dt-bindings: mipi-dsi: Add dual-channel DSI related info",
"53c748618303e44c582de09158fb7c40d5f35e32","UPSTREAM: dt-bindings: drm/bridge: Document sn65dsi86 bridge bindings","1f4f44cebb386e2b3db9c77766468152dfb4f56d","e3896e6dddf0b821dc3214b623a922aa7ee2c2d5","dt-bindings: drm/bridge: Document sn65dsi86 bridge bindings",
"aaaa9a487d854f1aca5b6d488320d0dfc42ca4bc","FROMGIT: clk: qcom: Add qspi (Quad SPI) clock defines for sdm845 to header","d5de3ceb1f9a5eff153ab1f7f62713ac13f4e0bd","48735597f7bd4421fe1e9392899ae9654c263315","clk: qcom: Add qspi (Quad SPI) clock defines for sdm845 to header",
"a0027569d48c18e57ec410200fe51951e6b8cc63","FROMGIT: clk: qcom: Add qspi (Quad SPI) clocks for sdm845","ffdf51bb77e6e482a077eca37f9cefdeafd6607b","4f83d9b848f67f85df04e69740bf8d70cb4a72b6","clk: qcom: Add qspi (Quad SPI) clocks for sdm845",
"e73240945b27eb632877d05ed77c8c3163db995d","FROMGIT: clk: qcom: Add support for RCG to register for DFS","d3dec64183d23a9646f804937a86537b70d2b46d","cc4f6944d0e333ed57a2f300afd7c8cb6df228d5","clk: qcom: Add support for RCG to register for DFS",
"e392f41c9d60050be8614f7548bc0f5f5fa34635","FROMGIT: clk: qcom: gcc: Register QUPv3 RCGs for DFS on SDM845","7df9156e2bcb869af644b6ff3ef05bedff873a6a","8b69c6dba2300b616737bbfc28685d86d786b11d","clk: qcom: gcc: Register QUPv3 RCGs for DFS on SDM845",
"2506c0ef606b6577a7ec90aa99bd1184cef231e3","FROMGIT: clk: qcom: Allocate space for NULL terimation in DFS table","980035e583cf96af092e1fde293c60e364876842","2bdb2a1cca8669cfe15be62b8f1ed966e374585b","clk: qcom: Allocate space for NULL terimation in DFS table",
"5e19c1b9d22e9030faf1c1416954d3462cc12ea7","FROMGIT: remoteproc: qcom: Rename Hexagon v5 PAS driver","1299aed483b84da09483b3194e7a0f74ee1a1f77","9e004f97161d637d2dc82299be494bcfd07043bb","remoteproc: qcom: Rename Hexagon v5 PAS driver",
"781ba8bb996c991ffb5c4c02fae4e172b8711b52","FROMGIT: remoteproc: qcom: Rename Hexagon v5 modem driver","c2645beb57aee9de683463708d82442ee003dd19","ef73c22fa025fe1db47605a9440767de993d1628","remoteproc: qcom: Rename Hexagon v5 modem driver",
"0862307cedb9d1677153b3b32109a101147a50a7","FROMGIT: remoteproc: qcom: q6v5-pil: Explicitly get mss_restart line","e8800d37b16642066e1ebd4f977266739f6c12cd","9e483efd3470d1335ad1c7e10db527dca5c412a3","remoteproc: qcom: q6v5-pil: Explicitly get mss_restart line",
"0458145fe1c09a5b9145ec7f5651b28c033706dd","FROMGIT: remoteproc: qcom: q6v5-pil: Assign the relocated address","f4b44703a29370b85353c9602a11aba41298b56a","3bf62eb77c7918884d640a2ee25ddb542ac6d0ca","remoteproc: qcom: q6v5-pil: Assign the relocated address",
"1c49de37c86e0eef59af3b98af536ee5896d9b19","FROMGIT: remoteproc: qcom: q6v5-mss: add SCM probe dependency","aae49fe0cadf90b38850f5c9bd4c3817a5f0a7bd","bbcda30271752bb7490f2e2aef5411dbcae69116","remoteproc: qcom: q6v5-mss: add SCM probe dependency",
"1bf3d422a57baf709fd1d43e184676604f5652d6","FROMGIT: remoteproc: qcom: q6v5: Propagate EPROBE_DEFER","9d2d7605c2b7bad2a083be9d337487b3ac352ce8","d5269c4553a64b6882f2c019ae21b783a0984a83","remoteproc: qcom: q6v5: Propagate EPROBE_DEFER",
"075f8d32a531c81348c16ac4f21ba5fd1382bc64","FROMGIT: phy: qcom-ufs: Remove stale methods that handle ref clk","9441b19c4e7ac1fd8b72579ed0756076a2483542","2ba3c43f09c50eb1c0472decdfba71010d8694dc","phy: qcom-ufs: Remove stale methods that handle ref clk",
"9c587082bed26de7739a59c23231586693056b83","FROMGIT: scsi/ufs: qcom: Remove ufs_qcom_phy_*() calls from host","3149324f34179819f01fbcb0eb4b7edff7789d1a","1e1e465c6d23aa7d1858eb2894408f15770af16c","scsi/ufs: qcom: Remove ufs_qcom_phy_*() calls from host",
"f72fb13033c2fcd63867203899ab03c29f9f11dc","FROMGIT: phy: qcom-ufs: Declare 20nm qcom ufs qmp phy as Broken","790a9575960416dfccf61ff8f22ac2a528900d38","82af0932486716bb870c3c0fd1d8c65b3062956f","phy: qcom-ufs: Declare 20nm qcom ufs qmp phy as Broken",
"3ff5fe8ff411b6baae2584d34dfae1c009f1d1d4","FROMGIT: dt-bindings: remoteproc: qcom: Remove additional definition tag","24387d2f530110ea56d5bc3b2ef828a3ee034b5d","f861164526d99e0f161e709da56736d29d1b781c","dt-bindings: remoteproc: qcom: Remove additional definition tag",
"c439c5bd6e307351010ba9908a66c3b633b94f2a","FROMGIT: remoteproc: qcom: q6v5: shore up resource probe handling","cbc52b8a9ad6996a299285a43a7787dbf0cd3e27","1e2517d126171a41f801738ffd19687836cd178a","remoteproc: qcom: q6v5: shore up resource probe handling",
"2d5c55ebeafbdfed5bfabc4f1ad626ce3bf05ea9","FROMGIT: soc: mediatek: pwrap: order SoCs and PMICs ascending","d3f618e86913de7735041bb478f064eb0371ab4c","bd69e7e9d5e74c9d40856c5805f8cbf2a13165d3","soc: mediatek: pwrap: order SoCs and PMICs ascending",
"d41bdc7bb8c79be7b020592d1e6174c2ddc16d03","FROMGIT: soc: mediatek: pwrap: use group of bits for pwrap capability","28d339ae309bcc4368345d774d2ed6e77467989d","0bd3134d446bed25ee2034cfc72be5401836cffd","soc: mediatek: pwrap: use group of bits for pwrap capability",
"c9cb8075ea53ded950d3b9855b99b268bf769f72","FROMGIT: soc: mediatek: add mt8183 pwrap support","5823e6a233d133c71ccad23e6cdb35b7dc0b6449","919049f6d44b7303794e6da7e3f6b91a41d2cf04","soc: mediatek: add mt8183 pwrap support",
"b90ce1ee1bfba4b2883cc075772a11ff2e80ed05","FROMGIT: soc: mediatek: pwrap: use true and false for boolean values","ebb3aec7f02393f2fe42f7dcb2a88309fcc20b01","2462080fe9417717a0594e082f50fce048d5a09b","soc: mediatek: pwrap: use true and false for boolean values",
"03ea379beeb967119ab72d0b8254b52d9779f70e","FROMGIT: spi: mediatek: Don't modify spi_transfer when transfer.","c48cc7283f465bbd73d89a619d74e1e0258a0ec7","00bca73bfca4fb0ab089b94cad0fc83d8b49c25f","spi: mediatek: Don't modify spi_transfer when transfer.",
"e84b02dbda20712b4c18f240305f83462584ae7a","FROMGIT: clk: qcom: Remove unused arrays in SDM845 GCC","ee26458b47d33d125ba88905abb794b1e43a9ef0","82a4de6f11dc8ecf4ca8b9d207bcae6484b8f261","clk: qcom: Remove unused arrays in SDM845 GCC",
"f4aebeac8dd618be40094103d67e194ecb03d1fa","FROMGIT: dt-bindings: mediatek: add compatible for mt8183 pwrap","c2d495f1ec3a6b0d051bd177a8296b4c18e03c56","6d0ca9dbb6d199cb2adeb40da3fea3c4ece6f092","dt-bindings: mediatek: add compatible for mt8183 pwrap",
"ca63fe22d6679a65e3ab8b6a06acea44ee28b285","FROMGIT: Bluetooth: hci_qca: Add poweroff support during hci down for wcn3990","7664974608e27aa657546bfa7cb0fa8f2e0e8937","3e4be65eb82c843a2d8544c93b7a9f5d4984b03b","Bluetooth: hci_qca: Add poweroff support during hci down for wcn3990",
"97b8953a7756b6ceb30a7114d60aab38e5eebc27","UPSTREAM: drm/bridge: ti-sn65dsi86: Fixup register names","ba4c097c8266f5921797b421c54bdf0ecd88cceb","6c76c0eb031f0a590c03da7381c0251ca783c585","drm/bridge: ti-sn65dsi86: Fixup register names",
"dc7f98ecfd1b1390200ad299745139031b4302c3","UPSTREAM: drm/bridge: ti-sn65dsi86: Implement AUX channel","203297b89acc54360c1aa02fdd7d99eae20d68b8","b814ec6d453577727e4911331c4e182d80e9ad18","drm/bridge: ti-sn65dsi86: Implement AUX channel",
"1c69960b8aadeb0223b624600a9e1212dd030520","UPSTREAM: drm/bridge: ti-sn65dsi86: Move panel_prepare() to pre_enable()","274b2459916c791f0b24e20faba4965fecd14318","73c89ead71859af7f439ac983e9e6f610448d44e","drm/bridge: ti-sn65dsi86: Move panel_prepare() to pre_enable()",
"61ebda6e78471b27f97db0f7287fde4b2f02a571","UPSTREAM: drm/bridge: ti-sn65dsi86: Poll for DP PLL Lock","f01a5e033fba30b20aba66a8f3ab80e86e2ac91e","fc52d0ed11188cae53912a13b44c1a77f058ae26","drm/bridge: ti-sn65dsi86: Poll for DP PLL Lock",
"ecb3db4eec02bdb586204bb290bf0042e4197c8c","UPSTREAM: drm/bridge: ti-sn65dsi86: Poll for training complete","519ab5bfd70a6ad03ad27cd9b97861de40350d0c","638e9af16b95f6fe0141821d06360039c53ba84d","drm/bridge: ti-sn65dsi86: Poll for training complete",
"9ca7bf64ff2b6b23d9558f0b0c1a5d38890dd4c5","UPSTREAM: drm/bridge: ti-sn65dsi86: Add mystery delay to enable()","9d7abd16dbe407bc4ff9fcdf25478f5ccf63c33d","bf1178c9893018b77c829215970cf4c6a3cebb34","drm/bridge: ti-sn65dsi86: Add mystery delay to enable()",
"c04cd8d84864502827f93fce0e166c3a0eca3a08","FROMGIT: drm: Add support for device_id based detection.","2f4fac32f3f4d020070ad422456fc0327b847def","0b49bbbd9f10dd5bcce126aa99041a44320767f7","drm: Add support for device_id based detection.",
"54616100eeb9f52eb15b51486bcded09e75cf1af","FROMGIT: drm/msm/dpu: Remove an unused enum","7706e78051f354f6031726c91371b0193a85fd0f","a8141bdbb4c90d41b41005c664fb1b35d29a1b54","drm/msm/dpu: Remove an unused enum",
"104b23dbfa6393b12d338a3bebf43544a5e865c6","FROMGIT: drm/msm: dpu: Remove impossible checks","e109e208c41324008fd40eef51a97126c0bd879a","3d04dc1444be774d8b474962d01b65306756ec54","drm/msm: dpu: Remove impossible checks",
"b744b9d76e756593d24d5cdb8b2675dd9ecbedf8","FROMGIT: drm/msm: dpu: Move atomic_check_plane_state() call to atomic_check","0b040453434005f9a11bc8e89c9946953061ba87","8df14b3e6ab367bdd939d52871ad80faf70ae8db","drm/msm: dpu: Move atomic_check_plane_state() call to atomic_check",
"03d4204845f362ef6ba6b45272c1ce8371c42549","FROMGIT: drm/msm: dpu: Consolidate atomic_check functions()","615f6def4af077bf03ae133e1bc541838fa1375a","2a7a92fc31c2c02d0d06fbcf178403cd5889f59b","drm/msm: dpu: Consolidate atomic_check functions()",
"7e619f5d16a1329ca539aea463087ee31986d945","FROMGIT: drm/msm: dpu: Remove dpu_plane_sspp_enabled()","02ac350c90d2ea6194fbd4b4078a1b029670a79f","31ab6bff07c47c1cee4aa8d0962fdd8229d9873c","drm/msm: dpu: Remove dpu_plane_sspp_enabled()",
"9708a59a17781289ba5cafb169525de7df5af07a","FROMGIT: drm/msm: dpu: Remove dpu_plane_enabled()","f3319594c2176c31677eacdb8c13287ae890811b","e1ba78fcee04de09f5da309600af8a6eb1086387","drm/msm: dpu: Remove dpu_plane_enabled()",
"675d812294a79d705694f9ff0be61f47dda5ee8f","FROMGIT: drm/msm: dpu: Make dpu_plane_sspp_atomic_update() void","2f947ddc6aacb35c6599d19bcfff16d656a667d2","2682cefea4c8078adeba4d74b7286e38fb631208","drm/msm: dpu: Make dpu_plane_sspp_atomic_update() void",
"e86e495d5829f87bac84096c6b18af2f0f229450","FROMGIT: drm/msm: dpu: Don't continue after error in atomic_check","0f41e85578ed72755107697ecebeca1b0ec75598","5923005d6a62567a59db1ec3cffc317d46a25143","drm/msm: dpu: Don't continue after error in atomic_check",
"4cf05d4680d2d9f8ff378bb5f967497be5edc531","FROMGIT: drm/msm: dpu: Clear frame_busy_mask bit after trace","200bc9936295929c7074635bae7dc0e79237ec96","b65bd0454258b07d4f6db9aa1eca55ae530c4802","drm/msm: dpu: Clear frame_busy_mask bit after trace",
"51c962fda01de55572ed504e60fdcda7d2590521","FROMGIT: drm/msm: dpu: Add extra_flush_bits to trigger_flush trace","a1be6702b2b07cc30cfedcdf90f42c3f345629e3","1bb4e701aad10a57bcab41e1996570c881aa6be7","drm/msm: dpu: Add extra_flush_bits to trigger_flush trace",
"585e7b8ed9bbb38b65c4ca7002483ebbc6e1262e","FROMGIT: drm/msm: dpu: Don't store/deref pointers in trace ringbuffer","0788c50e9dca0a0ec24876d61e86c3aaf11c129e","f65f035f197175ebebf002bcaad8974582c372f2","drm/msm: dpu: Don't store/deref pointers in trace ringbuffer",
"3b0d81a601b47919772fe8892ea756b241e2b919","FROMGIT: drm/msm/dpu: Remove unneeded checks in dpu_plane.c","3eca36d072a78b394a23725eae32c1c7ebf9d0db","1bd5a13b7986da7273eb26f117760b8331265e3b","drm/msm/dpu: Remove unneeded checks in dpu_plane.c",
"9ae5fd010fedcf2971e4e60ec11549657f93f417","FROMGIT: drm/msm/dpu: Clean up plane atomic disable/update","669d3fb0ca2f0949f07ec6589de88c310ae89d3c","ad444e55303c605d0d23b9b2a012a4e0c584834a","drm/msm/dpu: Clean up plane atomic disable/update",
"c27fba3b5dbb1ed8ee0bca9315060ac834dd1052","FROMGIT: drm/msm/dpu: Remove unneeded checks in dpu_crtc.c","5a9e9a19974eb045696beeda30a5ab5b5fd319af","04b96b63c5640a305e30611def7a9c5fcd7a72cf","drm/msm/dpu: Remove unneeded checks in dpu_crtc.c",
"9e20907b8ff9dde688f266508bbd52d30a882bfe","FROMGIT: drm/msm/dpu: Remove _dpu_crtc_power_enable","17b4541db63d21933e65754360aabba0039ae564","9a9ede3f719379c4edc7dcc60b00f44db77b9b74","drm/msm/dpu: Remove _dpu_crtc_power_enable",
"8fff3e015a26f66724901b96042663d46af08534","FROMGIT: drm/msm/dpu: Change _dpu_crtc_vblank_enable_no_lock to void","06faa3a7f9fac172c1125e761972a80aaeb0e323","1da03408e256435492bd33675aaa703699df37f1","drm/msm/dpu: Change _dpu_crtc_vblank_enable_no_lock to void",
"b3682083a1b64e3c8dcfc0c4e3a0a807dc04cb8b","FROMGIT: drm/msm/dpu: Make dpu_plane_danger_signal_ctrl void","283ca0f2336b66b88259cd892df5e01d01effd32","7b2e7adea732c68ae8bb3d232aacd9a6d4937585","drm/msm/dpu: Make dpu_plane_danger_signal_ctrl void",
"cf0ba003ab39775c07ef66603483b69974842cf3","FROMGIT: drm/msm/dpu: Revise _dpu_plane_get_aspace","ed5df42d6f5f35939c8b5705b8afb58955ca5a54","8527b2d836571c20c9ed0934668595f9bba8175e","drm/msm/dpu: Revise _dpu_plane_get_aspace",
"8f98e6bbb0642b024aa2c0c1af9d00cf8842e87f","FROMGIT: drm/msm: dpu: Don't reset dpu_enc->cur_master on .disable()","a62b7962442160b8de8d443b9c254da5b201ed81","9027b8719bd4f46b09c6b9d082715209c17971e2","drm/msm: dpu: Don't reset dpu_enc->cur_master on .disable()",
"02c165f1ae973c9bcca71f9b7bfe10543af0758f","FROMGIT: drm/msm: dpu: Fix memory leak caused by dropped reference","06268cf01fb0590d8aaa55e9bbf4aef15c58435e","82e223a5d854e1f19f46a1a1ad3fae311f337c9a","drm/msm: dpu: Fix memory leak caused by dropped reference",
"5d0d79881ed6f6786c76e5a03693272de117f7a1","FROMGIT: drm/i915: Ensure intel_engine_init_execlist() builds with Clang","e2fec5fa67cb1f86fc57b289c1ab36c7b5bd31c4","410ed5731a6566498a3aa904420aa2e49ba0ba90","drm/i915: Ensure intel_engine_init_execlist() builds with Clang",
"db2403486018fe369cb36d37932288114ca69c8d","FROMGIT: HID: magicmouse: add support for Apple Magic Trackpad 2","ee127d14d583a361f546c3f1ca7de04a79ad9240","9d7b18668956c411a422d04c712994c5fdb23a4b","HID: magicmouse: add support for Apple Magic Trackpad 2",
"c6d74ca189bf7c7cadcc27c2aa2a4ad9c53632bb","FROMGIT: dt-bindings: thermal: qcom-spmi-temp-alarm: Fix documentation of 'reg'","cc5aa2ba464154b8672ad4bea1402afc06020a7b","7fd5257f11445e35257a80d186a1da0e9795068f","dt-bindings: thermal: qcom-spmi-temp-alarm: Fix documentation of 'reg'",
"960674ad54ba3e4b95eaa0af08110cfc18ca3879","FROMGIT: dt-bindings: thermal: qcom-spmi-temp-alarm: Improve thermal zone in example","4b0dd2484b7f788c72699c2f5c333c0a42c0ec4e","97b27dd33d592b14cfb9299d5c89167ec57a3b83","dt-bindings: thermal: qcom-spmi-temp-alarm: Improve thermal zone in example",
"48eab673b61b2a67466d2068d903401ceb3b8200","FROMGIT: thermal: qcom-spmi: Use PMIC thermal stage 2 for critical trip points","4ebd1445627fe0acad58db77a568ce8175deb3f2","f1599f9e4cd6f1dd0cad202853fb830854f4e944","thermal: qcom-spmi: Use PMIC thermal stage 2 for critical trip points",
"4e1f97ca3502990bf77e29df51500a7c61df08f0","FROMGIT: dt-bindings: iio: adc: Add DT binding document for PMIC5 ADC","a19058e003f6bf2b71e58f6cb5921015b0411462","2fca585502716c25c52ad4fe54207f80762bc7b4","dt-bindings: iio: adc: Add DT binding document for PMIC5 ADC",
"c8557c62aa3e2a6d21b4bee619a290ae282ce93b","FROMGIT: iio: adc: qcom-spmi-adc5: Verify channel numbers from DT","2aabc95d3f61bd78dcb8a3c5bbffe475f54e5426","1e46774fec4b54adbd7cc15f1931e9df98664530","iio: adc: qcom-spmi-adc5: Verify channel numbers from DT",
"f7e88db1adeb10f56c542af6e183df88c0710377","FROMGIT: mmc: mediatek: fill the actual clock for mmc debugfs","5b172256e6d4d8aef7b583f5697acc88905d3b2a","56f6cbbed0463f1c78d602b17c315916cc1cd238","mmc: mediatek: fill the actual clock for mmc debugfs",
"92c65eff003eceaac3d69c843b4f1f1c17e541f0","FROMGIT: mmc: mediatek: fix cannot receive new request when msdc_cmd_is_ready fail","06571f6a717eb48c7e0b7bc1d48ebd9a4791ce1b","f38a9774ddde9d79b3487dd888edd8b8623552af","mmc: mediatek: fix cannot receive new request when msdc_cmd_is_ready fail",
"40d57a667f84227061daf00b95e9fc1bd2ce17c1","FROMGIT: mmc: mediatek: tune CMD/DATA together","7e029f98ee0a4b57a4d828ade089c743dacf42d8","86601d0eac2de45f86a908e5b3591d86878e3143","mmc: mediatek: tune CMD/DATA together",
"b5198f85b321cc8e8221f6a97fe7b961a050febc","FROMGIT: mmc: mediatek: add MT8183 MMC driver support","72d516524d5f3f7533b52646b4258661433dbb94","a2e6d1f6b30dc8f51456ace6132a243f77cde686","mmc: mediatek: add MT8183 MMC driver support",
"ba9f577126ba9b8c7a89aeb65b097b84d5eca79d","FROMGIT: mmc: mediatek: drop too much code of tuning method","864c75b476b7184b7b2ac48dd08f4394fa2b6dcd","fd82cc3020a024fc97fbc0a5242c26d06bb5e203","mmc: mediatek: drop too much code of tuning method",
"e6461815611bdeaf505dbab6113402131a10adbb","FROMGIT: mmc: dt-bindings: add support for MT8183 SoC","97242f65034bcaf84027f36d5d593e335fc72c3e","0b1a69fd8394b3ce62045b2012489c3870f06763","mmc: dt-bindings: add support for MT8183 SoC",
"9f2024e3e33a8cdd7b5ee65b17a8d64339f88599","FROMGIT: i2c: mediatek: Use DMA safe buffers for i2c transactions","a96b72e62562f47b674c5681cab742a7b0c53e51","fc66b39fe36acfd06f716e338de7cd8f9550fad2","i2c: mediatek: Use DMA safe buffers for i2c transactions",
"ac02d02d0d75441b341e2a2a69636a2737579008","FROMGIT: virtio_net: ethtool tx napi configuration","bcfa945146bc73d6d44b2665b89ba594c0a7575c","0c465be183c7c57a26446df6ea96d8676b865f92","virtio_net: ethtool tx napi configuration",
"7bbcf7c546dee8a6ee0ce0f64dc3bb51250c33e1","FROMGIT: pinctrl: msm: Mux out gpio function with gpio_request()","45cacb422caba025de58ed66773f480896dd9183","1de7ddb3a15c649fd15568d2056af295930656f8","pinctrl: msm: Mux out gpio function with gpio_request()",
"70577ec26137b629ba2866de3d1d61c05e93ffb2","FROMGIT: pinctrl: msm: Configure interrupts as input and gpio mode","6ed8cbfa926e757b4429e6e13235669d07446c82","fe2731211e784bff5a738631e5fd48041524239f","pinctrl: msm: Configure interrupts as input and gpio mode",
"e243dc5b1235adc1031816f5f7ef611316fd9c31","FROMGIT: regulator: qcom-rpmh: Add stylistic breaks in the default cases","84252e8f876483fc415bc9f4a82970ae41ca0f44","beb5a17fa32ed9b3b44be23dda9caf92c01e8200","regulator: qcom-rpmh: Add stylistic breaks in the default cases",
"61885ed8fe5486986f8b59f4ed13b849e7c6a96f","FROMGIT: ASoC: AMD: Fix simultaneous playback and capture on different channel","3b5f792db68cc70868e83e8a9a55a7b07b9fc262","8dcb0c90c691de5b79608d04ec7941ef9b3fee9c","ASoC: AMD: Fix simultaneous playback and capture on different channel",
"0cbc4b150692d449162f5379d6cebd6c4eef4cc9","FROMGIT: ASoC: rt5663: Remove the boost volume in the beginning of playback","91689109c397aeef5f07ae11223a7e094791e075","fc795bf7224efda8c35e505966c2757856064247","ASoC: rt5663: Remove the boost volume in the beginning of playback",
"5e663981719e72c9b3e327c01f4374213b9e3e56","FROMGIT: ath10k: skip resetting rx filter for WCN3990","e8f1446668f6745ee90ae1b002cb5467eb62ee62","58da3b42307061b71f2dcce2bd1185d578a3aa53","ath10k: skip resetting rx filter for WCN3990",
"b920521079959af54dc6059c05f6693432c57496","FROMGIT: ath10k: retrieve MAC address from system firmware if provided","30df02975e2ccf46a58d69f5732c7b9c67fe54d4","9d5804662ce1f9bdde0a14c3c40940acbbf09538","ath10k: retrieve MAC address from system firmware if provided",
"b179540ca4b7dca254169999f4fdb41d454641e1","FROMGIT: ath10k: optimize pci diag mem read & write operations","0a54f038a3ebcc976c40cfec698d1c953d5e7f4f","d56bbeea25d181760ed4aeb5002df0f1e07f0420","ath10k: optimize pci diag mem read & write operations",
"4154ab349bc80e1630d1be44c99e9d3efd2685f3","FROMGIT: ath10k: support to access target space below 1M for qca6174 and qca9377","9c6fa6292046800ec8bfb11498e5751daebaa67f","bc346c9a24a41fba93f8f5c4cd3de2c64fd02cfd","ath10k: support to access target space below 1M for qca6174 and qca9377",
"c00940f09bbb2137fe6ac90d2fcfc1f16e834827","FROMGIT: ath10k: add missing sanity check on diag download","b19f368ea51b847f6b15b9d78ccc4d31e13c439c","e720ba1dcc33377231bcbc76e927f089e393ea60","ath10k: add missing sanity check on diag download",
