"Local SHA","Local Subject",
"ab0ce88688d9f56046d599eea2237d2c221b4cb8","UPSTREAM: x86: tsc: Rework time_cpufreq_notifier()",
"806f0bc580b7bf9492fcac5f93ddc488b114bada","FROMLIST: drm/mediatek: use correct device to import PRIME buffers",
"cd0a8956a67d19518c09f8357aa36699dc7994b3","CHROMIUM: Revert ""drm/i915: Warn against variable length arrays""",
"4a3482b67ede2795bb30c43417e69f5febe3bf94","CHROMIUM: cgroups: relax permissions on moving tasks between cgroups",
"ddd84fa18cf1db420f7fc308eac427c8951e13f3","CHROMIUM: usb: gadget: f_audio_source: add .free_func callback",
"cf5492a54af24e1f159252e8583a07c215a4487e","CHROMIUM: usb: gadget: f_accessory: add .raw_request callback",
"43ae5b88a99a0d6809e2925ec9fe75aae1cb4761","gsmi: Fix bug in append_to_eventlog sysfs handler",
"096c21a07c40e0cd72bf83a5c67b7353ab621a99","gsmi: Add coreboot to list of matching BIOS vendors",
"9be4a37c2f01c57a28f10d29644da3ed98b6721a","gsmi: Remove autoselected dependency on EFI and EFI_VARS",
"211b276227e6c158b02318c371d48c96bbaf8805","CHROMIUM: drivers/firmware/google/gsmi: Add GSMI commands to log S0ix info",
"1277410a52897dce577d24aeb5879cf947f3448f","CHROMIUM: iio: cros_ec: Drop unnecessary include files",
"b5a9d2e4988bac57c09dcd7cc6018811b7126860","CHROMIUM: iio: cros_ec: Readd 'id' sysfs entry",
"febe2007a82dcc34395a813142f8eb082a7f82e7","CHROMIUM: Revert ""xfrm: Do not parse 32bits compiled xfrm netlink msg on 64bits host""",
"1481af189b79547b2aece8e290633fbe33fd53e2","CHROMIUM: Revert ""xfrm: Refuse to insert 32 bit userspace socket policies on 64 bit systems""",
"17bb02249e477bbf29aad22fa9e63d1b13439356","CHROMIUM: net: xfrm: expose xfrm_acq_expires sysctl to namespaces",
"e28e5d646e9dcbac0d8556a9b663996f1618590b","CHROMIUM: Revert ""xfrm: Do not parse 32bits compiled xfrm netlink msg on 64bits host""",
"a47b039e804644d5c857767e7a7ea7268a995aa5","CHROMIUM: Revert ""xfrm: Refuse to insert 32 bit userspace socket policies on 64 bit systems""",
"7f02eaec4129357cd115f1a942f61a668e14112c","CHROMIUM: arm64: dts: qcom: sdm845-cheza: rename flash WP# gpio",
"29514c0235aba87d196be4e3d39ae180d1ab1758","CHROMIUM: arm64: dts: qcom: cheza: enable Wifi",
"569fc9fa1947005b63dfff30f923f57f3b709766","CHROMIUM: arm64: dts: qcom: sdm845-cheza: Add thermistor ADC channels",
"62f95171f5769c22c6d49f598b13f7ab4ef1957e","CHROMIUM: arm64: dts: qcom: sdm845: Add cheza AP_SUSPEND_L",
"476793e67f65f792c518522ac682b14d25263237","CHROMIUM: arm64: dts: qcom: sdm845-cheza: Enable pulls for BT RX and CTS lines",
"0cdddbdd158e8ef14510ed1473fa1aa5f48e5c3c","CHROMIUM: arm64: dts: qcom: sdm845-cheza: Add wcn3990-bt node",
"a15161b991bc0fcb260c0dfeca676b1c3f051ce1","CHROMIUM: arm64: dts: qcom: sdm845-cheza: Turn on the lpasscc",
"e658b182cb4d4843d9384353c517e7d02d7eac7d","CHROMIUM: arm64: dts: qcom: sdm845-cheza: Add alias for Bluetooth node",
"c0a3d5796a00fe2c64bc4ec083fd21d38245817f","CHROMIUM: wilco_ec: Fix check of NO_RESPONSE flag in mailbox()",
"d2daa7c74e65df6d939857cb2dbcceaee8e10660","CHROMIUM: drm/virtio: Wake up all waiters when capset response comes in.",
"ad64f445731332dced8c6ac3f972687305f2aaf7","CHROMIUM: drm/virtio: Fix cache entry creation race.",
"8604ebfc0e8201382586f29573b94a6495505039","CHROMIUM: Revert ""Bluetooth: btusb: driver to enable the usb-wakeup feature""",
