"Local SHA","Local Subject",
"8e3ee902b6e917a3e62563b1ef5a381f42927ccc","FROMLIST: drm/mediatek: control dpi pins dpi or gpio mode in on or off",
"fd981aa5029a607267d6b8671ef248b513fcf07b","FROMLIST: drm/mediatek: add mt8183 support dpi pins control",
"df43cb12badf804f26bc0092e87bfa68a6ecdb71","BACKPORT: FROMLIST: arm64: dts: mt8183: Enable CPU idle-states",
"9e6132f8d0a4016b02e1caac5202f5ac36c21086","FROMLIST: dt-bindings: mediatek: update bindings for MT8183 systimer",
"ffc97595d1e64b91e30211cd35a60e172459b4cc","BACKPORT: FROMLIST: arm64: dts: mt8183: add systimer0 device node",
"e02499a4d55a66fdeb2367ae9efbe31fbc1d8629","FROMLIST: drm/bridge: dw-hdmi: Use automatic CTS generation mode when using non-AHB audio",
"496b0a35dee21a184c56780d638189ff82afb727","FROMLIST: dt-bindngs: display: panel: Add BOE tv101wum-n16 panel bindings",
"5f3a269645c3b31d5705c42e6a77aca371358309","FROMLIST: dt-bindings: display: panel: add auo kd101n80-45na panel bindings",
"87d23ca88cfd18e84c71fdfe7c597fef1605009a","FROMLIST: drm/panel: support for auo, kd101n80-45na wuxga dsi video mode panel",
"6808dd14a2a618e795199b799d81d616ae390f99","FIXUP: FROMLIST: drm/panel: support for auo, kd101n80-45na wuxga dsi video mode panel",
"980208302decd8cf520fb7b5e0aeb98a8931674c","FROMLIST: ASoC: SOF: acpi: add module param to disable pm_runtime",
"31bebc48c062d049f692274b5fd19cf4698b75be","FROMLIST: ASoC: SOF: pci: add module param to disable pm_runtime",
"70e0960f8b5b2a096fae673f3f945eb14e414d2b","FROMLIST: thermal: mediatek: add suspend/resume callback",
"f72b90279db4b34aa18c97be826014b611969509","FROMLIST: Revert ""ARM: dts: rockchip: add startup delay to rk3288-veyron panel-regulators""",
"c5ca96db39da130c92969ce07652df5cd7322fe3","FROMLIST: input: touchscreen: add delay time to device power on",
"385d7209f13fc8d8c2b60f4181ee1d0014794d69","FROMLIST: drm/panel: Add helper for reading DT rotation",
"37fa1a28e4fc82718f422848f2353ad51af587f7","FROMLIST: drm/panel: set display info in panel attach",
"1509c3461cf4eb1b8c59fc113eec18d4faef713b","FROMLIST: drm/mtk: add panel orientation property",
"b1efdd4ac5092952b328f79efab685ae48783e01","FROMLIST: cpufreq: mediatek: Support vproc shared by multiple component",
"fe37cb0786c8aa357d615645a830a9cd054cb632","FROMLIST: drm: bridge: dw-hdmi: Report connector status using callback",
"24d17ba368d6288daff5c64c923cbe23978f308e","FROMLIST: drm: dw-hdmi-i2s: Use fixed id for codec device",
"fec0237a93ed98915ec404fc418a952ab4021cb3","FROMLIST: ASoC: rockchip_max98090: Add HDMI jack support",
"bafdd7369137be7d98b640d5b78f46f5b1a0e657","FROMLIST: mmc: core: Add sdio_trigger_replug() API",
"1f833cba81e604ecd4fe5806bab9641ccd27a200","FROMLIST: mwifiex: Make use of the new sdio_trigger_replug() API to reset",
"4419fef1897980845b0c9da891032178519ea2be","FROMLIST: OPP: Allow required-opps even if the device doesn't have power-domains",
"ba0991082ced89c6db66a9c326ef978de288fed5","FROMLIST: PM / devfreq: Cache OPP table reference in devfreq",
"5097221921b57ec26b7de982cbfa492dfa985aed","FROMLIST: PM / devfreq: Add required OPPs support to passive governor",
"060dda1e6a2ddf9013fc2307306f6dfa0fb84662","FROMLIST: PM / devfreq: Add cpu based scaling support to passive_governor",
"edbb2cd689f17e27dbd66a873c8c2b196d14faca","FROMLIST: media: v4l2-ctrl: Validate VP8 stateless decoder controls",
"72ee1db4d22b0276f393c4e7ae90725bc0f45b69","FROMLIST: media: uapi: h264: Clarify our expectations regarding NAL header format",
"38ff92751051d8cb784d1534287b811758b30827","FROMLIST: media: uapi: h264: Get rid of the p0/b0/b1 ref-lists",
"7d19cb46c3a1d8ea2aa2ba16bdff7cf2e512f42e","FROMLIST: media: hantro: Move copy_metadata() before doing a decode operation",
"359afbc41cb63dda6423b3adb5fc9fead01eaabe","FROMLIST: media: hantro: Constify the control array",
"74f9d7cebdd37a17753006a502f707e2024d5e43","BACKPORT: FROMLIST: media: hantro: Simplify the controls creation logic",
"492a67644251c62db97b52451cda48d3eb0d3f45","FROMLIST: media: hantro: Add hantro_get_{src,dst}_buf() helpers",
"c83d9c4aefe5c29d55a4d8a16b24c67294784296","FROMLIST: media: hantro: Add helpers to prepare/finish a run",
"66393e7e8d92d58bf990dee336899d869571753c","FROMLIST: media: hantro: Add support for H264 decoding on G1",
"0bd0bd2e1f78044f67475abf417e9b95ecd0854c","FROMLIST: media: hantro: Enable H264 decoding on rk3288",
"6e28c41729387eb4915cadb59f29ed989e477be6","FROMLIST: Documentation: bridge: Add documentation for ps8640 DT properties",
"767e56e7d1548584cd361c61589c5b8c23ffb48a","BACKPORT: FROMLIST: serial: 8250-mtk: modify mtk uart power and clock management",
"5d4b022467897691c815f06fe04dd4ed858c30ec","FROMGIT: ARM: dts: rockchip: add veyron-fievel board",
"48425b33b106fad4c9e9fdd984a0683e7c679cc6","FROMLIST: ASoC: rockchip: rockchip_max98090: Set period size to 240",
"08cd38aef69b168b76d17c9b4dd54f599ef3ba47","FROMGIT: ASoC: rockchip: rockchip_max98090: use snd_soc_dai_link_component for aux_dev",
"e6afc423280366fb36722f0b776d9a2a14f39265","FROMGIT: media: hantro: Support RK3399 VP8 decoding",
"07777af26d5bb87daad021b198c93fd66c8b1e12","FIXUP: FROMLIST: drm/mediatek: change the dsi phytiming calculate method",
"2a9abaf958681bd95ee0f86f99d821fe84f20479","FROMLIST: bluetooth: xbox controller bug fix",
"b7ad1e1836487f6585f1fe33c93c59f9575f2234","FIXUP: FROMLIST: drm/panel: support for auo, kd101n80-45na wuxga dsi video mode panel",
"ef228d4a2998f1a6f382381e8ab5e30a38f40820","FROMGIT: PM / wakeup: Show wakeup sources stats in sysfs",
"8654a1d9c340884edc83a6e55eea5f6ad64b43e3","FROMLIST: media: uvcvideo: Use streaming DMA APIs to transfer buffers",
"b70ee078adc5070a12dba3f4ec6494c210b3c45d","FROMGIT: fdt: add support for rng-seed",
"7df5ba73b95185d6da454ec3ea1a638d35e279de","FIXUP: FROMLIST: mfd: Add support for the MediaTek MT6358 PMIC",
"09e5393710c0c06d109aeab5f01440eeab3d32f5","FROMLIST: soc: mediatek: cmdq: clear the event in cmdq initial flow",
"ddfeac9d241cfa2d2033ffd70ce84418a46ca815","BACKPORT: FROMLIST: soc: mediatek: cmdq: define the instruction struct",
"c62585f26cad8bae8458b84074557494dee3bad1","FROMLIST: soc: mediatek: cmdq: add polling function",
"bbe21eb823496a634aa659c63a033d4a5e5b97ee","FROMLIST: soc: mediatek: cmdq: add cmdq_dev_get_client_reg function",
"3b83dc6b1b7fd6df873bc1f30dbe62309516e338","BACKPORT: FROMLIST: arm64: dts: add gce node for mt8183",
"5f1b6f933b956ef18b0e55eaa50768f7d2215ba8","FROMGIT: iommu/io-pgtable-arm-v7s: Extend to support PA[33:32] for MediaTek",
"58e1de8d695f232acdcc627ca96797536da76ea2","FROMLIST: dt-bindings: mediatek: add binding for mt8183 display",
"e18d57c0e1789e5da6b65c2220d08bfea35f0044","FROMLIST: dt-bindings: mediatek: add ovl_2l description for mt8183 display",
"d82bc506662c43fe345dddef7a1c65909c0e1e05","FROMLIST: dt-bindings: mediatek: add ccorr description for mt8183 display",
"8f6faa5cb148e1696c739be2e19778fe64c5def1","FROMLIST: dt-bindings: mediatek: add dither description for mt8183 display",
"401a6446c3730c569543c1236ae94cf165fc1c24","FROMLIST: dt-bindings: mediatek: add mutex description for mt8183 display",
"b1ea3cbf6a65080865b407d3e560114fed7d3f11","FROMLIST: drm/mediatek: add mutex mod into ddp private data",
"1c666b155802ae799453f307579742572acc9253","FROMLIST: drm/mediatek: add mutex mod register offset into ddp private data",
"76fd8caf18463194736130f56238e7cb287a7a00","FROMLIST: drm/mediatek: add mutex sof into ddp private data",
"c13aa93e1cb8179321d4362b74ca0cd5f10f0e57","FROMLIST: drm/mediatek: add mutex sof register offset into ddp private data",
"81b200d001d9e57edf83d29d4807a4479607df9d","FROMLIST: drm/mediatek: add mmsys private data for ddp path config",
"21a712275b2c92c13643211bc464c7b05701e6af","FROMLIST: drm/mediatek: move rdma sout from mtk_ddp_mout_en into mtk_ddp_sout_sel",
"73272b902fab84748afef2e73ad077ebd9e7bde0","FROMLIST: drm/mediatek: add commponent OVL_2L0",
"41317202a56a40fc255e539b218a873b618650de","FROMLIST: drm/mediatek: add component OVL_2L1",
"e39dc5ae83fedc932e6b135a9311cb0d43a2493c","FROMLIST: drm/mediatek: distinguish ovl and ovl_2l by layer_nr",
"04c5b8f8f363f5108c6c377e5c1c5a13a8e51e7f","FROMLIST: drm/mediatek: add clock property check before get it",
"4c8f27295e1c1f4e5325ed8eb4b13ebfb18505cd","FROMLIST: drm/mediatek: add connection from OVL0 to OVL_2L0",
"6d3732be70d4e4fa6b8a98321dcc3d4cd07478ea","FROMLIST: drm/mediatek: add connection from RDMA0 to COLOR0",
"07ccef61be3ed52b94ee09adaa88012671a83600","FROMLIST: drm/mediatek: add connection from RDMA1 to DSI0",
"2b6d2b5b16164be3a55d8aca04a669b5e5f229a5","FROMLIST: drm/mediatek: add connection from OVL_2L0 to RDMA0",
"9bec8d6fac0c382cd46643f001b4dba30e3c866b","FROMLIST: drm/mediatek: add connection from OVL_2L1 to RDMA1",
"a21034bf255e28370ce6020522d2df8b97ba0dea","FROMLIST: drm/mediatek: add connection from DITHER0 to DSI0",
"842f97a5367b1a5d81b24b1a9e40b9dba75f909d","FROMLIST: drm/mediatek: add connection from RDMA0 to DSI0",
"c8b6948c787acdf4c435ab063e51bf995f9bc1ac","FROMLIST: drm/mediatek: Only block updates to CRTCs that have a pending update",
"a19410e4d1e520df434bcf752613110402ff2bde","FROMLIST: drm/mediatek: Apply CMDQ control flow",
"002274707fb9333e319986333ecb5966d5da33ae","FROMLIST: arm64: dts: mt8183: add gce setting in display node",
"0222fac441c10d64f49f3cf2ee45c2cacf3748af","FROMLIST: media: dt-bindings: mt8183: Added camera ISP Pass 1",
"0f7036128bf8f1e2cb372d2093fdc30a189e324c","FROMLIST: dts: arm64: mt8183: Add ISP Pass 1 nodes",
"a794aab0db40f58e8e3b5e4344c0dc9e520f1ccb","FROMLIST: media: videodev2.h: Add new boottime timestamp type",
"2e9b197ce26cda014fbdd36552b003b8a018aa87","FROMLIST: dt-binding: mediatek: Get rid of mediatek,larb for multimedia HW",
"571af29841bfe0df418ee66206c48559732d02a2","FROMLIST: iommu/mediatek: Add probe_defer for smi-larb",
"11c2819a60e8545a4c9743437ca1df4d8bbb13ed","FROMLIST: memory: mtk-smi: Add device-link between smi-larb and smi-common",
"3718d834f99a5cb5c6f3f088e8149d622fc3ccc4","FROMLIST: media: mtk-jpeg: Get rid of mtk_smi_larb_get/put",
"a1acd350b641c9faec0d222544832dac782859ef","FROMLIST: media: mtk-mdp: Get rid of mtk_smi_larb_get/put",
"0694ba1febb21d038d98eec9c99487cf1cad2420","FROMLIST: media: mtk-vcodec: Get rid of mtk_smi_larb_get/put",
"9940b4a173f2055e88d646dd2e422a5de367ab23","BACKPORT: FROMLIST: drm/mediatek: Get rid of mtk_smi_larb_get/put",
"3573e61237c183c840c6d3a9796b4ac844f25418","FROMLIST: iommu/mediatek: Use builtin_platform_driver",
"3d7f0129bab17f16fc9e86f3b53333b513eec985","FROMLIST: memory: mtk-smi: Use device_is_bound to check if smi-common is ready",
"d9852c2c9f0d5c630704272c00853762d659e91d","BACKPORT: FROMLIST: drm/mediatek: Add pm runtime support for ovl and rdma",
"d9965d536728aced14d0e31a3fee2a4f4cca2ba8","FROMLIST: arm64: dts: mediatek: Get rid of mediatek,larb for MM nodes",
"3b75aaf46ab1fb8875772717c7dfd705662b29bc","BACKPORT: FROMLIST: arm64: dts: Add power-domains properity to mfgcfg",
"badfc166850a3a621d9f793b6cacc4e5f0ff75ff","FROMLIST: remoteproc/mediatek: add SCP support for mt8183",
"6648ce69b39c7574be58708f80822e28e2a33fe4","FROMLIST: rpmsg: add rpmsg support for mt8183 SCP.",
"5eb3083fd8006c52164ba3688fa5f6429f01b29b","FROMLIST: platform/chrome: cros_ec_rpmsg: Fix race with host command when probe failed.",
"7081316c2b39b552ecefda5cc5e57f91bc1c7301","FROMGIT: dt-bindings: display: mediatek: update dsi supported chips",
"9f43048dfdeb515fbda2e44af5ad74297dfe70fd","FROMGIT: drm/mediatek: separate mipi_tx to different file",
"dee2ba436fdff989e6143165c9a3d1da61229dc4","FROMGIT: drm/mediatek: add mipi_tx driver for mt8183",
"7a1e4f4fda0711afdb7e64bb82b548698f9e46ac","FIXUP: FROMGIT: drm/mediatek: change the dsi phytiming calculate method",
"92abcf935b2c37acfd1970792e9b6a3d43cc199d","FROMLIST: clk: mediatek: add pericfg clocks for MT8183",
"8fb738c9fe3f259b8d32e133ee939a49b05d07b7","FROMLIST: phy: phy-mtk-tphy: add a property for disconnect threshold",
"05de2df72ff4c55e017fd7a83cfa5b35aed613b2","BACKPORT: FROMLIST: arm64: dts: mt8183: add usb and phy nodes",
"80f21b1347dd7b71e1bf8b57ce1b73a239ff7dd1","FROMLIST: arm64: dts: mt8183: enable USB remote wakeup",
"3c8f6a812ee44e7659001035e00e3af48a290ae7","FROMLIST: arm64: dts: mt8183: tune disconnect threshold of u2phy",
"3b15659f5d68b7486f04cbfdad228e5febf66345","FIXUP: FROMLIST: drm/bridge: add it6505 driver",
"1a0fe0475f6ca1339614ef7f862b7877516d001a","FROMLIST: media: i2c: dw9768: Add DT support and MAINTAINERS entry",
"7ddec4989cfdf93bdf36c097f1eb8077bcc1abcd","FIXUP: FROMLIST: media: i2c: Add DW9768 VCM driver",
"09d0fbf984e07abaa46fe5323044c922dc1dac30","FROMLIST: media: dt-bindings: media: i2c: Add bindings for OV02A10",
"a381d646b404ce94d6c80199bfd9c33142e0841c","FIXUP: FROMLIST: media: i2c: Add Omnivision OV02A10 camera sensor driver",
"5e04af21b86aba0e0fa0fcf313aadd99ee9a5004","FIXUP: FROMLIST: media: i2c: Add Omnivision OV02A10 camera sensor driver",
"421383301dc6c9eede3904685dada42755548d37","FROMLIST: dt-bindings: mt8183: Added FD dt-bindings",
"7bfd24aa5db63cbaa436acf9918f9cb3d32fac48","BACKPORT: FROMLIST: dts: arm64: mt8183: Add FD nodes",
"b12aa7ce7855905ec1bf0166e5f525791f2a01d4","FIXUP: BACKPORT: FROMLIST: platform: mtk-isp: Add Mediatek FD driver",
"55d0d3f3451dd2b2abf2e95f21c3853f51f9e9db","FIXUP: BACKPORT: FROMLIST: platform: mtk-isp: Add Mediatek FD driver",
"2eeb84cb2903ae93555ca1d4b2d724d56577ff18","FROMGIT: media: videodev2.h: add V4L2_FMT_FLAG_CONTINUOUS_BYTESTREAM",
"74a505124fd8e5397a7529f81b6607572ffcba1a","FROMGIT: media: videodev2.h: add V4L2_FMT_FLAG_DYN_RESOLUTION",
"101275356a3994d26de26256f3e47cedb3d56411","FIXUP: BACKPORT: FROMLIST: media: platform: Add Mediatek ISP P1 V4L2 device driver",
"405e889ade24ad68eddeb167814232718a0af4e4","FIXUP: BACKPORT: FROMLIST: platform: mtk-isp: Add Mediatek FD driver",
"de2fc9fa4f547135daa7073a477c38d5a237d479","FROMLIST: media: hantro: h264: Fix a comment in b1_ref_list_cmp()",
"4cd5c4cbe86ff178f3df8f536ef6fc5bdf7c4aa2","FROMLIST: media: hantro: h264: Rename POC_CMP() into HANTRO_CMP()",
"49b053a4e06774026086982d1649502ac1d52606","FROMLIST: media: hantro: h264: Fix the frame_num wraparound case",
"3173e7f841f0db70b47184fd9b11d199a1621d73","BACKPORT: FROMLIST: drm/ttm: let ttm_bo_wait timeout be configurable",
"572f35be58f69c57cc839a4edc0ae5f7089354d1","FIXUP: BACKPORT: FROMLIST: platform: mtk-isp: Add Mediatek FD driver (take 2)",
"97133b5779a589bcfda4a8816fd1d41b245d534f","FIXUP: BACKPORT: FROMLIST: platform: mtk-isp: Add Mediatek FD driver (take 3)",
"10b15506bdc4207ebdc50951fe7f6bbf1469abeb","FIXUP: FROMLIST: drm/bridge: add it6505 driver (take two)",
"d00d2035cb92d610af5fe92b7e155d53d6d73bcc","FROMLIST: watchdog: iTCO: Add support for Cannon Lake PCH iTCO",
"1fc7bd50ece980d2ff8ca4803f6129f17cca5582","FROMLIST: i2c: i801: Use iTCO version 6 in Cannon Lake PCH and beyond",
"2ef848edf3dd1e7c7c829e6e5dde5d65f6dc14da","FROMLIST: drm/virtio: Rewrite virtio_gpu_queue_ctrl_buffer using fenced version.",
"2e9acfe429b784ab92406e43b030748669ed83e0","FROMLIST: drm/virtio: Use vmalloc for command buffer allocations.",
"c3b35f0a49624127dfbcda0421ae9afd5734cde4","FROMGIT: drm/bridge: dw-hdmi: move audio channel setup out of ahb",
"8913bb87f18b4c923095781cd30a4ee0d8f68a63","FROMGIT: drm/bridge: dw-hdmi-i2s: add .get_eld support",
"81a9cfa8e3c469a03c7ec4f451b5ced058c98115","FROMGIT: drm: bridge/dw_hdmi: add audio sample channel status setting",
"4073da854c74f8a6a0b3d3e4318f3192409ee69e","FROMLIST: media: mtk-vcodec: vdec: fix incorrect pointer dereference",
"36b8e0ac11b002ea04dfe7812293a52384a81de5","FROMLIST: media: mtk-vcodec: vdec: set VPI IPI handler in one place",
"9f595036e6fc9213a3be72e4e05838218c978aeb","FROMLIST: media: mtk-vcodec: vdec: move stateful ops into their own file",
"e7a9683fec0fac83be093cdf82f65020772ab4e1","FROMLIST: media: mtk-vcodec: vdec: handle firmware version field",
"4833faee5fd2a0a2d37ed94d422b4c6e981e4702","FROMLIST: media: mtk-vcodec: abstract firmware interface",
"b791307f7cba298c9ac6e670edac48aaeb717d87","BACKPORT: FROMLIST: media: add Mediatek's MM21 format",
"dbb65e5bf6027de634f3e03b3e01b4122cb6b785","FROMLIST: media: mtk-vcodec: vdec: support stateless API",
"31f9ea2329ceef7548e3292d1b0c3bfe52151230","FROMLIST: media: mtk-vcodec: vdec: support stateless H.264 decoding",
"9f8a0b993298bc244d7a105fe596a18416a204db","FROMLIST: media: mtk-vcodec: enable MT8183 decoder",
"e324987a17340f97dcf31c606eb2bb7e977be3a7","FROMLIST: dt-bindings: display: panel: add boe tv101wum-n53 panel documentation",
"1e5b7e6b152059b7db1322b8803d07189617ecde","FROMLIST: dt-bindings: display: panel: add AUO auo, b101uan08.3 panel documentation",
"1f2a2a6a3cac18fa441654e5fc1c0ceca49c2d6b","FROMLIST: drm/panel: support for auo, b101uan08.3 wuxga dsi video mode panel",
"36c455de17482144fc2875e4204490f870866162","FROMLIST: dt-binding: mt8183: Add Mediatek MDP3 dt-bindings",
"8817b3fbcbbbfa8bdaf97077fb24bf8f2cc887f7","FROMLIST: dts: arm64: mt8183: Add Mediatek MDP3 nodes",
"5e4132dc75b7c5d0f25612fd18f1058812263f79","FROMLIST: media: platform: Add Mediatek MDP3 driver KConfig",
"678999f5de26b87d1404d9fd02a54ac2124fa3fd","FROMLIST: dt-bindings: soc: add mtk svs dt-bindings",
"693f9ee177d82d0feb36619a049b73415277c6fb","BACKPORT: FROMLIST: arm64: dts: mt8183: add svs device information",
"345b3dc9c739dcd706ef652c4e068cc3bf6322e7","FROMLIST: dt-bindings: mt8183: Added DIP dt-bindings",
"11ae30e775863f9e7b00c2d12fdfb227e4e5a77f","FROMLIST: dts: arm64: mt8183: Add DIP nodes",
"5ce09d12b9f6bf4a060327e086881ceedff4239d","FROMLIST: media: platform: mtk-mdp3: Add struct tuning_addr and img_sw_buffer",
