"Local SHA","Local Subject","Reason",
"0497388cad3da78547a7f27a318219a8a045f501","FIXUP: FROMLIST: arm64: dts: mt8183: add pintcrl device node","squashed into 3dbfb034158967cf43fc2cf7cfbe5a74c8cd75c4",
"20d0be293126288ccbada727fae505ecf6fd3516","FIXUP: FROMLIST: wilco_ec: Add Boot on AC support","squashed into d5a18bab0a66abf803a9a99905aa6e0cdab4a0ab",
"d9d0099d1c78278170fa5a1832c41df4c12f976e","FIXUP: usb: dwc2: optionally assert phy reset when waking up","squashed into 22c9fd3d0b859b449af25b698d530c05b881fecb",
"9dc66890ccca0c77f0dc4cb46810320c7a4de2e7","FIXUP: FROMLIST: mfd: intel-lpss: Add Intel Comet Lake PCI IDs","squashed into 596ff82b1994f24e7d331f0bd8efae71d34f9340",
"7e2b50926be2c0adb4a0b95c69cd5737bd6f0a0a","FIXUP: FROMLIST: arm64: dts: mt6358: add PMIC MT6358 related nodes","squashed into 2aef73c5f39c5967b188eb11984b3402945b0690",
"0bf56aa13c17bcb4e67e08dbcf0b8c71fbf62231","FIXUP: FROMLIST: BACKPORT: platform/chrome: wilco_ec: Remove 256 byte transfers","squashed into 9a655f4b2ff6739568e18ae7a7eae3b2929fb39e",
"5568f4d311e64ab469ee8a926a7e60c6e6693d21","FIXUP: FROMLIST: USB: dwc2: Don't turn off the usbphy in suspend if wakeup is enabled","squashed into 285147f7f5c4a92335a002facdfd36da2b9c5959",
"ba303d8aee748e968e600b7de4853617db30ef70","FIXUP: FROMLIST: scripts/decode_stacktrace: Look for modules with .ko.debug extension","squashed into 0a5798a82a22db9049ce74a8ab170285a649c418",
"1fce3c357bb2ded2091d3cefc473788a4231ec84","FIXUP: FROMLIST: drm/mediatek: add dsi reg commit disable control","squashed into 57892fa75742a0c3480aebc9b2615653ba4acbe0",
"09219b80b8a637e6c2206d6a0fc408c4aa8b90e2","FIXUP: FROMLIST: thermal: mediatek: add another get_temp ops for thermal sensors","squashed into 5d2ff2ebaf78df47131d7299f636748eb1ba58c9",
"2f8abede9307122753e76813d9fffd005ff530c9","FIXUP: FROMLIST: drm/mediatek: add dsi module reset driver","squashed into 502daf74d351967ce2ec5d61dc2357793565fa21",
"46a56127e2ef31502e59772d97d0116057f24235","FIXUP: FROMLIST: devfreq: mediatek: cci devfreq register opp notification for SVS support","squashed into a4581f0f3082ef39d3ef3f6a3b399d88bb6c336d",
"01fd9a18f8b0b2a343c8fa48c9f2e64a76bb9cd8","FIXUP: FROMLIST: drm/mediatek: move mipi_dsi_host_register to probe","squashed into e51f81c804eb836acad49ff85c01f776e2cf4af4",
"a7b78acace1e522893bf2c5cc2c2534a72183f34","FIXUP: FROMLIST: drm/panel: support for BOE tv101wum-nl6 wuxga dsi video mode panel","squashed into 88070385a41a70db09f1fbcb59a4e2efbd531ce5",
"40a691d7f86f7f3e7317bb2f2187e31e155e4168","FIXUP: FROMLIST: iio: cros_ec : Extend legacy support to ARM device","squashed into b5acf6aecc77e63a15dba9ac0bb205f374053458",
"61f0c855768b57b52e62d94144f15baef605359b","FIXUP: FROMLIST: cpufreq: mediatek: add opp notification for SVS support","squashed into f28623dc3d3464cd0f90ab52a1b99df4812af738",
"d8e3134cf2a37bdc42fe97e76c0db41bf1fb06cc","FIXUP: FROMLIST: devfreq: mt8183-cci: using cpu based scaling passive_governor","squashed into 1c5125da75a80365710957687e63e18f48dc14af",
"bdf7f203d3a08614f259af0235d519ee238bd6b3","FIXUP: FROMLIST: OPP: Add function to look up required OPP's for a given OPP","squashed into cf108050aa250fed501fcb12fb5e077e331f549f",
"6a83c410173ddef8f944378a1168253271bfb976","FIXUP: FROMLIST: OPP: Improve require-opps linking","squashed into 993bf626c2062d7878e43f304424765e5ecd12a7",
"94f6169bce8c7b431a665772b143e42067bdedc5","FIXUP: BACKPORT: FROMLIST: media: hantro: Add core bits to support H264 decoding","squashed into 6ef4171eed5ffdc2108ab673a755d1dd77fb3dcd",
"ec3e8dd8c65e7b38dc7dbeab77e7e6458f90f97d","FIXUP: FROMLIST: arm64: dts: mt8183: add scp node","squashed into b5d18d83b28856508efb060d24e551e664477b53",
"a2fbc04f40d37052d7ac598a08b513a14b37d2fb","FIXUP: FROMLIST: OPP: Improve require-opps linking","squashed into 993bf626c2062d7878e43f304424765e5ecd12a7",
"5d87c0fe2c945ec6d8521345ace38a261a7de94f","FIXUP: BACKPORT: libnvdimm: add dax_dev sync flag","squashed into 29f7679a8425a7a648ab8e2cd501ab81bf26cedb",
"50340a86f1feafb4938f3eca8c0ef9aed3b82b66","FIXUP: FROMLIST: drm/mediatek: move mipi_dsi_host_register to probe","squashed into e51f81c804eb836acad49ff85c01f776e2cf4af4",
"e41cffebd3aa58a243863dfb2aeb1ba57ee50548","FIXUP: FROMLIST: drm/panel: support for BOE tv101wum-nl6 wuxga dsi video mode panel","squashed into 88070385a41a70db09f1fbcb59a4e2efbd531ce5",
"e8f07e252892aa71c3aa29c61d7d881813f74ed3","FIXUP: FROMLIST: regulator: mt6358: Add support for MT6358 regulator","squashed into efe1a591419d7e0c17a0f524f7889fd687655374",
"d36b285a6c82afb91e3d89f78ec1ffeead8eeb5e","FIXUP: FROMLIST: arm64: dts: mt6358: add PMIC MT6358 related nodes","squashed into 2aef73c5f39c5967b188eb11984b3402945b0690",
"ad09460f972e14d6f092ab372529b87dad457c53","FIXUP: FROMLIST: rtc: mt6397: Add support for the MediaTek MT6358 RTC","squashed into 8f482726926e70372fd22394476b5fe78c6ed0cd",
"19a452562c79418d7d5f70aa24af89c43b36cc5d","FIXUP: FROMLIST: arm64: dts: add display nodes for mt8183","squashed into 1981488fee0bdced6fe003745f5b3ed217f8f5ed",
"f2dd00b62ef7c37dea0cb36457f670961ebd5bab","FIXUP: FROMLIST: arm64: dts: add display nodes for mt8183","squashed into 1981488fee0bdced6fe003745f5b3ed217f8f5ed",
"f935f93c6e0a97b0fab885474dbf68165c133c4e","FIXUP: FROMLIST: drm/mediatek: add component DITHER","squashed into eb459af001fcdac3eeca815ca0ebc57692f2f853",
"b950f1f279f3bc034b8309f4b38eef46db59472f","FIXUP: FROMLIST: drm/mediatek: add function to background color input select for ovl/ovl_2l direct link","squashed into 2503afc921849071602ffbccf0fb664f60bf32b9",
"63e2503b917d09eb0675bc97cafe4d8b920f4b3b","FIXUP: FROMLIST: drm/mediatek: add background color input select function for ovl/ovl_2l","squashed into bc5c19950911a310f6b39bd3581ce91aac17b90d",
"ddead01e42abfcf05b91183f7c0e1e9916f8de59","FIXUP: FROMLIST: drm/mediatek: add ovl0/ovl_2l0 usecase","squashed into 5fe3d97737a43303e0e9055134f2b41a5411f43a",
"20b09c289fb8a52b32187d49bc35a8f20e4411a7","FIXUP: FROMLIST: drm/mediatek: add support for mediatek SOC MT8183","squashed into 8c03dd8896c742f6775aec0b0dc3f945decd5053",
"d5e900c121230265ff5ea76d9c6d03bcb0e38852","FIXUP: FROMLIST: drm/mediatek: Support CMDQ interface in ddp component","squashed into 8d7bd9d9538e3911a9885a40b1bb5188f36bea29",
"cec2b51563c24317f8280bc50e49b2aba028f382","FIXUP: FROMLIST: arm64: dts: mt8183: Configure CPU cooling","squashed into 3b954b9f3372ea30d5c55c639997adf72cca163b",
"8ed651e515fc8ddf20833effddeb63a605d3ea68","FIXUP: FROMLIST: drm/mediatek: Bypass atomic helpers for cursor updates","squashed into 2431b273eaa1ebf108f87b20e2139f24439a8612",
"a3f7d76d0a1bd6dad3c4f28b07487cd3ea257b0c","FIXUP: FROMLIST: drm/mediatek: Support CMDQ interface in ddp component","squashed into 8d7bd9d9538e3911a9885a40b1bb5188f36bea29",
"a1dd43b715a0400960b71c3412094459694696ae","FIXUP: FROMLIST: usb: mtu3: support ip-sleep wakeup for MT8183","squashed into e885f6aa8b47d6b464ee49480ff38f3bebcf2a69",
"4027487f45fd979543a66e7fdf0023f7b065a766","FIXUP: BACKPORT: FROMLIST: media: hantro: Add core bits to support H264 decoding","squashed into 6ef4171eed5ffdc2108ab673a755d1dd77fb3dcd",
"0f619e47767dec8a7943b061f9f03e623cb13a25","FIXUP: FROMGIT: drm: dw-hdmi-i2s: enable audio clock in audio_startup","squashed into cadf8b3e0d52b16c63c286750a4626d7b0f663ce",
"d1853a9b3da14b1d18a3fa67bcf20c4abda36ba0","FIXUP: FROMGIT: ath10k: adjust skb length in ath10k_sdio_mbox_rx_packet","squashed into 92b7f61350ade17688b38ef225aa6efeddcafce4",
"6992e016e77d6f0871b760b40bdbdb3a028b698b","FIXUP: FROMLIST: usb: mtk-xhci: support ip-sleep wakeup for MT8183","squashed into f7f7f006a3ef8f5f03e52c3461d81049eb480fee",
"c917e05508d50264a3f83c1b38d2860f9f0d1337","FIXUP: FROMLIST: platform: mtk-isp: Add Mediatek DIP driver (RFC V3)","squashed into ab922f68712a5768ffb8eca32d37b654738e3ecf",
"c23c9eae7e3f06bc29cfb3493a3d6c85ceb9ecca","FIXUP: FROMLIST: media: platform: mtk-isp: Add Mediatek sensor interface driver","squashed into 61e12ddf8197612c314860cdc6efacf0c37424b6",
"3d6a9dd40289c9992eb4705c6c5a55e9c523c9e1","FIXUP: FROMLIST: media: platform: Add Mediatek sensor interface driver KConfig","squashed into 21d7588740d9f4e096005af37caa623d3d58f8f1",
"1b1008f1812fa64b30b1a4b564f8ac2865fc85b2","FIXUP: FROMLIST: media: i2c: Add more sensor modes for ov8856 camera sensor","squashed into b8b97c2ff7c4f7eac9f656bdad35f8a1389a945f",
"b055f6b00d16a4cf0c76695773d2e59a04a073c7","FIXUP: FROMLIST: media: i2c: Add more sensor modes for ov8856 camera sensor","squashed into b8b97c2ff7c4f7eac9f656bdad35f8a1389a945f",
"5bcdd900a5509775b18bbf2edc696bc7176b29d4","FIXUP: FROMLIST: drm/panel: support for boe, tv101wum-n53 wuxga dsi video mode panel","squashed into ac02f2cebc96f1c4a2da440776428b2ecc8f560c",
"c6e6aa26125d5d4a496018d396955eeae7cd5aee","FIXUP: BACKPORT: FROMLIST: media: platform: mtk-isp: Add Mediatek sensor interface driver","squashed into 61e12ddf8197612c314860cdc6efacf0c37424b6",
"f6d41524263f225c0723bfc63b8899a47a3e526f","FIXUP: FROMLIST: media: platform: mtk-mdp3: Add Mediatek MDP3 driver","squashed into 3aaa1dfd6a57ae1da76bd19706ac896e398fced0",
"ca294d21a889eef57112ab2494cf7fae3901f1fc","FIXUP: FROMLIST: platform: mtk-isp: Add Mediatek DIP driver (RFC V3)","squashed into ab922f68712a5768ffb8eca32d37b654738e3ecf",
"fa4b51a790dc8b817599a95c24ab5140021ff87e","FIXUP: FROMLIST: PM / AVS: SVS: Introduce SVS engine","squashed into 9b1bdc4568cfee6bc7eb8959873ce461b84a761b",
"cc2a2f996a9011c75fb33b1c423748d8d619e374","FIXUP: FROMLIST: PM / AVS: SVS: Introduce SVS engine (take 2)","squashed into 9b1bdc4568cfee6bc7eb8959873ce461b84a761b",
"29f9632fbb4e15b824acc9f3af4c86b51d7dc7b4","ANDROID: add script to fetch android kernel config fragments","ANDROID",
"d467d4dbb32275a24deff601bb8212c64b6f4ccd","ANDROID: arm: Fix dtb list when DTB_IMAGE_NAMES is empty","ANDROID",
"9e5882d00a7206bf60566bc8a6726a1be66028f9","ANDROID: arm: add config option to build zImage/dtb combo","ANDROID",
"5d4805a5293404fa9bf43dc4bc053f111b653dc8","ANDROID: arm: convert build of appended dtb zImage to list of dtbs","ANDROID",
"81c0f08307774094d9063104f8482f7647a52ad9","ANDROID: arm64: add option to build Image.gz/dtb combo","ANDROID",
"a275616b87cdf3df2c88f657d802e2a3cf2f40ce","ANDROID: arm64: add option to build Image-dtb","ANDROID",
"e3449abb3b81e9682e32c1f588436f9e62429601","ANDROID: arm64: Allow to choose appended kernel image","ANDROID",
"a798b6c800f5131f15d77db4d833537bf5f4c55a","ANDROID: kdb: support new lines without carriage returns","ANDROID",
"aedf2e61b572d8324d0089f6cf2e28e68704835a","ANDROID: binder: add support for RT prio inheritance.","ANDROID",
"901a75260540fd384cd03f092405e0fc412a0b5e","ANDROID: binder: add min sched_policy to node.","ANDROID",
"705270154c3bc2dbfb37631cb0fc7821f5a0d9b6","ANDROID: binder: improve priority inheritance.","ANDROID",
"6db83b5d4be8e671ab016f642ea05fa8f3103f35","ANDROID: binder: add RT inheritance flag to node.","ANDROID",
"3ac72ce12febc917016f4d82a72861652ef3969d","ANDROID: binder: don't check prio permissions on restore.","ANDROID",
"b3b2f9999b53c73c0ec1ca48b7a923e63db19ea7","ANDROID: binder: Add tracing for binder priority inheritance.","ANDROID",
"a1f1a283014fbeb20b8f6571f6aef655f995e5ee","ANDROID: binder: init desired_prio.sched_policy before use it","ANDROID",
"f859cbf1ef068d6bad492b498c03d44432e8dc43","ANDROID: binder: fix node sched policy calculation","ANDROID",
"dc0bd3177eef3d0e1e6e6d397c251fd9df85d5bf","ANDROID: cpu: send KOBJ_ONLINE event when enabling cpus","ANDROID",
"95a20bd6ae349f770e573f73c69147cd2001e93b","ANDROID: cpuset: Make cpusets restore on hotplug","ANDROID",
"871e6b6de593f1c0c50bbf9fc4d37c8024a14a8b","ANDROID: dm: verity-fec: add sysfs attribute fec/corrected","ANDROID",
"c84031898ac2074986b2c5167f37be1a40e195cb","ANDROID: dm: do_mounts_dm: Rebase on top of 4.9","ANDROID",
"b6488ebfb40a0032f3dafed4c00f9dc5c05ac534","ANDROID: dm: do_mounts_dm: fix dm_substitute_devices()","ANDROID",
"ca737582e27dc6a315fc8f72444262c62ec486a5","ANDROID: dm: do_mounts_dm: Update init/do_mounts_dm.c to the latest ChromiumOS version.","ANDROID",
"fb53974166210ab64292942a73a7fadfe045b0f2","ANDROID: dm: android-verity: Add android verity target","ANDROID",
"4afde9cb815ca7abb53da0e4d174246479f3b1d4","ANDROID: dm: android-verity: Mounting root as linear device when verity disabled","ANDROID",
"21002cca89bee2ecdded01cfd97e8106293d7ceb","ANDROID: dm: android-verity: use name_to_dev_t","ANDROID",
"dcf101169b3405d1e888cedbb944f75f9b2bcc1d","ANDROID: dm: android-verity: fix signature verification flag","ANDROID",
"21d587c530465e6802ddceb8997a636639dc877d","ANDROID: dm: android-verity: use default verity public key","ANDROID",
"eadf527da7abc1696aeedade5a676b29de1682ab","ANDROID: dm: android-verity: mount as linear target if eng build","ANDROID",
"9c33b6031c5847c1c38e85c138da90f8446e1782","ANDROID: dm: android-verity: allow adb disable-verity only in userdebug","ANDROID",
"db89e81a5600c1764cd2efe4dfdb6249f05383d4","ANDROID: dm: android-verity: Verify header before fetching table","ANDROID",
"d9671c9e6392c1f27af35e97689bfef113c5f211","ANDROID: dm: android-verity: pack the fec_header structure","ANDROID",
"7073e24a3fd28c80c5cd1a04147136092e975b0b","ANDROID: dm: android-verity: adopt changes made to dm callbacks","ANDROID",
"48027a39e052ba5a2ef0069880e66a7171e76bba","ANDROID: dm: android-verity: Remove fec_header location constraint","ANDROID",
"073e5494d95edf84906f68fe344cb2894a4f317b","ANDROID: dm: android-verity: rebase for 4.9","ANDROID",
"03c22e5a35a69b71e5fc7e0cf2f74cde2ad1c57d","ANDROID: dm: android-verity: fix table_make_digest() error handling","ANDROID",
"2c03281a5324d4b5b0a46f39bd862da21797f4bd","ANDROID: dm: android-verity: allow disable dm-verity for Treble VTS","ANDROID",
"87278071fb6be3f2bb2018d29ecf3b42a7098666","ANDROID: dm: android-verity: mark dev as rw for linear target","ANDROID",
"f17e3fccae8ed6c2f9cd594bbd06f5ec7ca023c9","ANDROID: dm: verity: add minimum prefetch size","ANDROID",
"fdf9f87d3014ff96ac07edf9c95a64ce9036422c","ANDROID: fs: sched: add a counter to track fsync","ANDROID",
"fc573581d74bbc3bb94681d7a17082f8e2ad1e6b","ANDROID: fs: FS tracepoints to track IO.","ANDROID",
"014610986a187a71473bcfd0507cebcbbf794d07","ANDROID: fs: Refactor FS readpage/write tracepoints.","ANDROID",
"f798581e900d8b8a8e056cd3fdb98469aa381752","ANDROID: fs: Fix for in kernel emergency remount when loop mounts are used","ANDROID",
"5a2ae5072b9332be08623d3247417c379da66202","ANDROID: goldfish: add ranchu defconfigs","ANDROID",
"e21c2138eb773ca81a99840db3fa4f689d72e87c","ANDROID: initramfs: Add skip_initramfs command line option","ANDROID",
"67d0f63b5a28037a7bcb777d9fb1e80f6e760ccc","ANDROID: input: Generic GPIO Input devices","ANDROID",
"d79366adec170121ce111e70a6c895be2a0b9ff3","ANDROID: input: gpio_event: remove early suspend","ANDROID",
"68bc2040978def7e147dcf1f4380ef3aae53b9f5","ANDROID: input: gpio_input: convert from wakelocks to wakeup sources","ANDROID",
"170c890c6d0914f73f29ade8d0e075642789d5cb","ANDROID: input: gpio_matrix: Remove wakelock.h dependencies","ANDROID",
"fa50e390aa4e9f5596734b01f927e5dca1f19843","ANDROID: input: keyreset: Add keyreset driver.","ANDROID",
"8ed72eebf09c47af9218b2f0dca30095e5c0f79c","ANDROID: input: keycombo: add keycombo, a general key combo driver.","ANDROID",
"5f2afc82f504dfea8707af1c0c1d2ec1b5e3e727","ANDROID: input: keyreset: Changed keyreset to act as a wrapper for keycombo.","ANDROID",
"595f7ba388d32fe509b8670b93e871c103b4cf92","ANDROID: input: keyreset: Made keyreset more robust","ANDROID",
"9a6baccec822deb0c7d0257c53f3c1a72cafa909","ANDROID: input: keyreset: switch to orderly_reboot","ANDROID",
"8dadd301719d7315291624cd7f28aa24e2300eb1","ANDROID: kbuild: make it possible to specify the module output dir","ANDROID",
"15c56aac1f3cd1b47601ce1bbc4fe4c9d98d8ef0","ANDROID: kbuild: Makefile.clean: make Kbuild and Makefile optional","ANDROID",
"1ff409524262e30f61307e0a2f3e3ee685c5deb8","ANDROID: mm: add a field to store names for private anonymous memory","ANDROID",
"db3a1947c0d65e69aab30ec9e1f03731692f9d23","ANDROID: mmc: core: Add ""ignore mmc pm notify"" functionality","ANDROID",
"07c9d51fd5151a596292d3f02f8883941a686555","ANDROID: net: Paranoid network.","ANDROID",
"32e137ee892ce9d314e7c21d19855179f5e5c32b","ANDROID: net: paranoid: security: Add AID_NET_RAW and AID_NET_ADMIN capability check in cap_capable().","ANDROID",
"101e7a64c22f0213640d05454c8c51968f0f187e","ANDROID: net: paranoid: Replace AID_NET_RAW checks with capable(CAP_NET_RAW).","ANDROID",
"340fabf67236455e610cbfa94e47346a81ca42fc","ANDROID: net: paranoid: Only NET_ADMIN is allowed to fully control TUN interfaces.","ANDROID",
"f1d896fd80ce14060390542d0c072b028515b759","ANDROID: net: paranoid: security: Add proper checks for Android specific capability checks","ANDROID",
"aacd846e4bd5c8ee1e0b2ec92b6db7e8ea6f1d1f","ANDROID: net: paranoid: commoncap: Begin to warn users of implicit PARANOID_NETWORK capability grants","ANDROID",
"9d94faa9e20236242e454254624ace914e9b1659","ANDROID: net: ip-sysctl: Document tcp_fwmark_accept","ANDROID",
"e5db149038832a43517259a2bd85c8cf6070ceb9","ANDROID: net: ipv4: sysfs_net_ipv4: Add sysfs-based knobs for controlling TCP window size","ANDROID",
"ec1f3f01a6229983187ccf407f079643b00a0159","ANDROID: net: ipv6: fix crash caused by ipv6_find_hdr()","ANDROID",
"0c13a7b58ebcc217a419da1c11fe0f4cd7940c0a","ANDROID: net: ipv6: autoconf routes into per-device tables","ANDROID",
"eb4ab28c08dc78ac141593a5e66cb3060bee97d6","ANDROID: net: rfkill: Introduce CONFIG_RFKILL_PM and use instead of CONFIG_PM to power down","ANDROID",
"a116b28a5364b439306692bdada504cf35ee0c14","ANDROID: net: wireless: Decrease scan entry expiration to avoid stall results","ANDROID",
"782cb8c788f2bab0ce0a32ebed5416bb73333c36","ANDROID: net: wireless: wlcore: Disable filtering in AP role","ANDROID",
"d11bb14e58bdecafa6d1ba0f448920ac5fc7d6f9","ANDROID: net: xfrm: make PF_KEY SHA256 use RFC-compliant truncation.","ANDROID",
"6f7256fc0736c49311bcc20baabc9a7017f8ebe2","ANDROID: netfilter: xt_quota2: adding the original quota2 from xtables-addons","ANDROID",
"58b87100d7d22d3a236c37f8a57875108955c312","ANDROID: netfilter: xt_quota2: fixup the quota2, and enable.","ANDROID",
"cead6bffca84b298691c58da076022a82af7e6be","ANDROID: netfilter: xt_qtaguid: add qtaguid matching module","ANDROID",
"dfc23286ff2da055d867b39ab44bf84d98b3c8d9","ANDROID: netfilter: xt_qtaguid: fix ipv6 protocol lookup","ANDROID",
"50c2a6d2dae341afcf4f06f6ec59c028f904e73c","ANDROID: netfilter: xt_qtaguid: start tracking iface rx/tx at low level","ANDROID",
"aa98aba92d80078aebbb54bb1f0703cd61a12da6","ANDROID: netfilter: xt_qtaguid: report only uid tags to non-privileged processes","ANDROID",
"118a6fd757400c99ff26a995b02437cdd566c1ef","ANDROID: netfilter: xt_qtaguid: fix error exit that would keep a spinlock.","ANDROID",
"2e1942bf4e9fcea6750fa47828e0cd08023fe08c","ANDROID: netfilter: xt_qtaguid: Don't BUG_ON if create_if_tag_stat fails","ANDROID",
"ea746766aa471199661844d54bff6bb20558dcc8","ANDROID: netfilter: xt_qtaguid: remove AID_* dependency for access control","ANDROID",
"a28dfae3eab6f568b7ce0f3b515c0dabf161786b","ANDROID: netfilter: xt_qtaguid: extend iface stat to report protocols","ANDROID",
"f54ca231d961a65ff35b69e7adf475cd27a8c13a","ANDROID: netfilter: xt_qtaguid: Allow tracking loopback","ANDROID",
"c341ba15cdbcfc775df8ebfca4bceba458637558","ANDROID: netfilter: xt_qtaguid: rate limit some of the printks","ANDROID",
"86c2b617f9675cf0861a1f26f14e929d936a86cd","ANDROID: netfilter: xt_qtaguid: 3.10 fixes","ANDROID",
"bb512927baf562108fe24f2bb8c8c81bc4b4036a","ANDROID: netfilter: xt_qtaguid: fix bad tcp_time_wait sock handling","ANDROID",
"7563da8a90aa0755ed0b5dbd6358b5ae5dfe3a7b","ANDROID: netfilter: xt_qtaguid: Fix boot panic","ANDROID",
"46c1fb0553eda63e67375f6cfaa8b914b03e233a","ANDROID: netfilter: xt_qtaguid/xt_socket: Build fixups","ANDROID",
"086e8b0a8642e31dcc5a4b92074bc18b6f1fa6ee","ANDROID: netfilter: xt_qtaguid: Use sk_callback_lock read locks before reading sk->sk_socket","ANDROID",
"44de9be0246b71adf6ab34827ba9c758ae9faa55","ANDROID: netfilter: xt_qtaguid: xt_socket: build fixes","ANDROID",
"931301645a98f94f13c25f2018cdabf3fc76aad5","ANDROID: netfilter: xt_qtaguid: fix a race condition in if_tag_stat_update","ANDROID",
"0a83631a500eb7be968a3192a92a8a6274217617","ANDROID: netfilter: xt_qtaguid: Fix panic caused by synack processing","ANDROID",
"eb6fab37ee209ea8752a18e059076f7fd832d718","ANDROID: netfilter: xt_qtaguid: Fix panic caused by processing non-full socket.","ANDROID",
"e29268e3e1bb767b7e0ecc005286f3392acdd56a","ANDROID: netfilter: xt_qtaguid: Don't show empty tag stats for unprivileged uids","ANDROID",
"fe6bc43a5e8411303b6096e8976d87ae052926fd","ANDROID: netfilter: xt_qtaguid: fix the deadlock when enable DDEBUG","ANDROID",
"3b7f1a55434f3372af1b63f86d095a6ee31d2d0b","ANDROID: netfilter: xt_qtaguid: don't check if embedded arrays are NULL","ANDROID",
"2079d4c83c284e7956fd5e9f02a6a1e8959c0bf5","ANDROID: netfilter: xt_qtaguid: Add untag hacks to inet_release function","ANDROID",
"806542fe875d8d18a6d7f591337d3157147a1aa1","ANDROID: netfilter: xt_qtaguid: handle properly request sockets","ANDROID",
"2107a7339729d3f3066fc4a0495650c870c27896","ANDROID: netfilter: xt_qtaguid: fix handling for cases where tunnels are used.","ANDROID",
"adcf4c62a4b43828b565ae419f64632ea9e77d1e","ANDROID: netfilter: xt_qtaguid: Use sk_uid to replace uid get from socket file","ANDROID",
"0bbba996433d3f34b9467c1e66231fa58d7359d6","ANDROID: netfilter: xt_IDLETIMER: Add new netlink msg type","ANDROID",
"ac1e26fa745e342feb227cae1a6328bba707d7ed","ANDROID: netfilter: xt_IDLETIMER: time-stamp and suspend/resume handling.","ANDROID",
"38cc4255d032516eb77fb2cb393159bfbd09879a","ANDROID: netfilter: xt_IDLETIMER: Adds the uid field in the msg","ANDROID",
"3a6acf342843aacc90afb7ac1c4ff318d09d39e8","ANDROID: netfilter: xt_IDLETIMER: Fix use after free condition during work","ANDROID",
"b8c2baef79b591f20a1ecb699d99240f9ca09e33","ANDROID: netfilter: xt_IDLETIMER: Use fullsock when querying uid","ANDROID",
"79ff36e448e02bc8caf1e634c79ceb2e103d3173","ANDROID: NFC: st21nfca: Fix out of bounds kernel access when handling ATR_REQ","ANDROID",
